true-predicted	TRUE	predicted	message	source	correct	true 2nd	predicted 2nd
C&I-C&I	C&I	C&I	Hello VHTs. This group is for Seeta Nazigo and Makata VHTs. Dorothy is the supervisor.	logistics	TRUE	SE	none
C&I-C&I	C&I	C&I	Luke and Qiana I will be at Seeta Nazigo at 3pm to do a household visit with each of you.	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	Where are you now?	logistics	TRUE	none	none
SE-SE	SE	SE	Welcome Harriet	logistics	TRUE	none	none
SE-SE	SE	SE	Thank you very much	logistics	TRUE	none	none
SE-SE	SE	SE	Hi My Dear How are you?	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	I am good thank you Harriet. I am just at Seeta Nazigo HC now. I am just about to do some visits with Luke and Qiana.	logistics	TRUE	SE	none
C&I-C&I	C&I	C&I	Luke did a home visit today. Remember to take your time when doing the history and exam and record things accurately!	logistics	TRUE	C&I	none
C&I-C&I	C&I	C&I	Send me the names of those who are going to do the home  visit tomorrow.	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	Tomorrow we have just Kavule and Kirujja VHTs doing home visits. Isabella and Harriet.	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	Ok	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	Ok	logistics	TRUE	none	none
SE-SE	SE	SE	Keep up the good work. There are a lot of people in Seeta Nazigo and Makata who need your help	logistics	TRUE	none	none
QA-QA	QA	QA	Remember ... Each time you recruit a new house hold get written consent. We will be providing you with two forms which need to be signed by your houses the first time you visit them. One is in English the other is in Luganda. Once the head of house has signed the consent form once they don't need to sign it again over the next 6 months	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	Francesca we already went back home.	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	Dr. the other patient you gave money to go to the health center, went to Mukono HC 4 and they took 7000 from her and said they are going to cut off the leg.	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	They said they will cut off leg.	logistics	TRUE	none	none
C&I-QA	C&I	QA	So have they done that or not? What has she decided. We want her to be ok.	logistics	FALSE	SE	none
C&I-C&I	C&I	C&I	For the benefit of you guys. Luke found a patient yesterday on a home visit with a very bad infection of the leg. The patient was going to stay at home but we advised them to go to Mukono District Health Center 4 in town and be seen by the doctors. This is important as the infection was very bad and the woman could die if this spread to the bone. Some were worried about the doctors wanting to ask for money. Remember that the government health centers are free. Anyone who asks for money should be directly challenged and the patient should take the doctors name. They should report this to you as VHT and you report to OmniMed. We will then make sure this is seen to by the District Health Officer Dr. Tumashabe. Remember, VHTs are the voice of the people.	logistics	TRUE	QA	none
SE-SE	SE	SE	Andrew I ask for forgiveness, I know I am always rushing but I know I am doing the work well and I can change.	logistics	TRUE	none	none
C&I-QA	C&I	QA	It looks a bit like this. Anyone who has an injury like this needs to go to hospital urgently and be seen by a doctor.	logistics	FALSE	QA	none
C&I-C&I	C&I	C&I	I have seen the photo - it seems the person is so sick. They might cut the leg off.	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	She is going back to the hospital today.	logistics	TRUE	none	none
SE-SE	SE	SE	You forgive me Andrew for what has not gone right.	logistics	TRUE	none	none
SE-SE	SE	SE	He has forgiven you Luke.	logistics	TRUE	none	none
SE-SE	SE	SE	Morning VHT members	logistics	TRUE	none	none
SE-SE	SE	SE	Good morning	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	We will see you and Isabella today at makata Primary school at 2pm for home visits. Please bring your books , otoscope and a pen	logistics	TRUE	none	none
C&I-SE	C&I	SE	Thanks for reminding me.	logistics	FALSE	none	none
QA-QA	QA	QA	Remember ! Sick patient who you can't deal with in the community (EMOJIS) --> send to a doctor at the health center (EMOJIS)	logistics	TRUE	none	C&I
QA-QA	QA	QA	Any corruption don't accept it (EMOJIS). Take the name of the doctor (EMOJIS) and report it  (EMOJIS)	logistics	TRUE	none	none
SE-SE	SE	SE	Welcome Isabella (Emoji)	logistics	TRUE	none	none
SE-SE	SE	SE	Hello VHTs I hope you are all good. Respect for all your work.	logistics	TRUE	SE	none
C&I-C&I	C&I	C&I	Greetings. Thanks for the work you are doing. Starting from next week we are going to start having cases and questions which we will give you. You have to reply. What you have to do is to read your booklets and the papers that you are given. Whoever has a question we are ready to answer.	logistics	TRUE	SE	none
C&I-C&I	C&I	C&I	Harriet and Isabella did their visits today and are using WhatsApp.	logistics	TRUE	none	none
QA-QA	QA	QA	We talked about the idea of creating a list of your houses and marking when you visit them how many people are in the households and how many you examined. That way you can be more organised and make sure you don't miss anyone off.	logistics	TRUE	C&I	none
SE-SE	SE	SE	Thank you Isabella and Harriet	logistics	TRUE	none	none
SE-SE	SE	SE	Gebaleko Dorothy	logistics	TRUE	none	none
SE-SE	SE	SE	Ok dear. Also well done.	logistics	TRUE	C&I	none
C&I-C&I	C&I	C&I	Andrew, Dorothy wants to know about the ear washout program for one of the girls from her households because it's tomorrow.	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	OK I can meet her in the morning if she likes??	logistics	TRUE	none	none
QA-QA	QA	QA	Dorothy did you wash out the patients ear?	logistics	TRUE	C&I	none
C&I-C&I	C&I	C&I	Andrew will bring all the equipment for you.	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	We are in the field.	logistics	TRUE	none	none
SE-SE	SE	SE	Hello my VHTs, Respect for all of the work you are doing. I hope you are all well.	logistics	TRUE	SE	none
SE-SE	SE	SE	Welcome back Isabella and Harriet. Thanks for the work you have done today we really appreciate.	logistics	TRUE	SE	none
C&I-C&I	C&I	C&I	Those we are going to see the following week get ready. Don't forget your otoscopes. The other thing is you should read the manual we gave you because we are going to begin giving you case studies and questions next week.	logistics	TRUE	none	none
SE-SE	SE	SE	Welcome back Catherine and Andrew	logistics	TRUE	none	none
QA-QA	QA	QA	Thank you Isabella and Harriet for your excellent work today. You did a good job at taking the consent and doing the exams and recording it in the books. If it is easier for you maybe keep the forms and drop them off at omnimed rather than seeta nazigo health center if it is closer for you? Also maybe consider making a list of your households and writing down when you have visited them, how many people were in that household and how many you examined.  That way we can be organised	logistics	TRUE	SE	C&I
C&I-C&I	C&I	C&I	Health worker, are we supposed to bring the papers the patients were filling?	logistics	TRUE	C&I	none
C&I-C&I	C&I	C&I	The ones you remove from the books?	logistics	TRUE	C&I	none
C&I-C&I	C&I	C&I	Even those you filled	logistics	TRUE	C&I	none
SE-SE	SE	SE	Isabella I appreciate but lets do it again	logistics	TRUE	none	none
SE-SE	SE	SE	Thank you for the work you have done for them because they have benefited a lot.	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	Doctor do we write all the households?	logistics	TRUE	C&I	none
SE-SE	SE	SE	Thank you Harriet. Well done today and thank you for your effort. Webale Nyo	logistics	TRUE	SE	none
C&I-C&I	C&I	C&I	You write all of them and then you specify the ones you have already visited and also write the number of people there plus the ones you have examined.	logistics	TRUE	C&I	none
C&I-C&I	C&I	C&I	Dorothy. We are at Seeta Nazigo. Are you coming ?	logistics	TRUE	none	none
