Strict score,Loose score,C&I rank,C&I score,SE rank,SE score,Q rank,Q score,Sender Role,Message
-104,-92,0,98,1,6,0,0,Facilitator, Other VHTs what do you think causes itching in the ear?
-100,-90,0,93,1,5,0,2,Facilitator,Please reply to the question for today. 
-106,-84,1,11,0,85,0,10,Facilitator,Thank you very much Isabella. 
-88,-82,0,83,1,3,0,2,Facilitator,If we have evidence and are informed citizens aware of our rights and the needs of those who we serve then we are empowered.
-106,-80,0,95,0,-2,1,13,Peer supervisor,What is the solution to the pinna?
-109,-79,0,90,0,4,1,15,CHW,"Francesca, this is group for case studies. Stop asking Luke what he is saying. "
-116,-74,0,86,0,9,1,21,Facilitator,We need to go see him urgently. As in tonight....
-156,-54,1,51,0,85,0,20,CHW,Good. But remember coartem dose is based on the weight of the child. So the number of tablets will depend on their weight.
-132,-48,0,90,2,9,1,33,Peer supervisor,The medicine that is remaining is just for a day. What can I do for her? She is getting the treatment from Riubaga 
-108,-36,1,36,0,72,0,0,Peer supervisor, It's ok Dr
-25,-25,1,63,0,37,0,51,CHW,The only advice I give to her maamu to  take him in  big hospital .
-15,-15,0,50,0,40,1,75,Peer supervisor, Jovia needs help. She got a client with pus and wounds . Kindly let her be helped. Thanks
-185,-13,1,86,0,93,0,6,CHW,"C. As VHTs, it's our responsibility to explain to and sensitise people on how to take good care of their ears. It's important not to give up until we are sure they know and understand what to do. We should also sensitize them on some of the myths in communities like buzzing sounds that are mistaken for someone being talked about, itching that implies one has syphillis and others. Since our doctor has discovered many issues of hearing loss, he probably has something he can do about it. Hearing aids are expensive but he can find a way to help. When he goes back, he can find ways or else in Uganda we are likely to have many deaf people. May be government health centres should also sensitize people on the diseases they treat including ears."
-193,-11,1,91,0,95,0,7,CHW,"Greetings fellow VHTs. My name is Nora and this is my reply to the questions. 4a) The most important issue is lack of transport to facilitate one to and fro, and yet seeing the doctor requires money one may not have at the moment. I think hospitals that treat ears should have various branches for example in Mukono and other areas."
-188,-10,0,98,1,89,0,1,Facilitator,Wow - well done Dorothy. That was a great video. You can see clearly the tape was 'green' meaning she is not malnourished. Well done and well done for selecting the correct tape. Brilliant!
-101,-1,0,52,1,50,0,-1,Facilitator, Excellent answer Dorothy.
0,0,1,54,0,53,0,1,CHW,"What I would like to add on is malaria caused by eating half cooked meat and unboiled milk commonly known as brucella. It is also very dangerous and once one gets it, it may not go well with them."
-147,3,0,72,2,18,1,57,Peer supervisor,"Morning members, I need your help on this issue, I have a client here, he says he has pain in the left ear, but when we looked in the ear, the ear drum is normal, but when you look in the right ear which doesn't pain him, there is too much wax, what can I do for this patient, I new your advice now and at least I do something before the patient goes."
