Strict score	Loose score	C&I rank	C&I score	SE rank	SE score	Q rank	Q score	Sender Role	Message
-145	-113	0	0	1	16	0	129	Facilitator	"The first and second arch form the ears - they don't fully close which is why you see a small hole, or 'sinus'/"
-134	-112	0	57	1	11	0	66	Facilitator	OK Oliver. If you are struggling to read messages please let us know since otherwise we can only assume you are not receving or replying. We have to see the lady we saw last week who has ear wax that you gave olive oil to in order to do her washout. Does Tuesday afternoon work?
-86	-68	0	71	1	9	0	6	Peer supervisor	"Sorry I had forgotten, I know we have some VHTs who have issues with their phones at the moment so I request whoever has received this audio message to inform a friend in case you meet such that we can all be aware."
-115	-67	0	21	1	24	0	70	Facilitator	Has been a busy day. Took some pateitbs to Kampala for hearing assessments.
-76	-60	0	17	0	51	1	8	CHW	"Isabella I thought about that patient, but since you the one who knows the patient I thought they were going to come there for the washout, because now I don't know what to do. "
-61	-59	0	30	1	1	0	30	CHW	I have seen the photo - it seems the person is so sick. They mght cut the leg off. 
-78	-54	0	55	1	12	0	11	Facilitator	 Also Qiana please might you send the Voice you sent me to this group so that Bryan or Catherine can translate it for me . webale nyo
-55	-53	0	40	1	1	0	14	CHW	"Greetings my fellow VHTs, I have just returned online, I had no power,Dorothy about the issue you talked of, I have no allergies, it happens whenever I use cars with open roof like pick ups, it affects  me so much, my ears become so heavy I don't understand but when I use other cars I don't feel bad, that is why I was asking about the people using those trucks everyday whether they are not affected as well. Thank you for your advice."
-41	-47	0	37	1	-3	0	7	CHW	"VHT Oliver what you are going to do is to stop using pick ups and trucks, not in a bad way but if you know that is where the problem comes from, because even the Bible says avoid any ways that bring harm, so when you think that it will affect you, don't use the open cars, there is nothing to do."
-40	-46	0	27	1	-3	0	16	Facilitator	Nora today explaining how to use antibiotics. Remember: always ask about patient allergies
-83	-45	0	27	1	19	0	37	Peer supervisor	Mr. Bryan that patient was treated by 7 VHTs - but it was a question shwoing us that patient was coming and Dr Andrew wanted us to practicing filling out the boxes. It was part of the case series questions much as there are some patients who move from one VHT to another it was not the case for that. That is why the dates are all the same!
-39	-41	0	26	1	-1	0	14	Peer supervisor	I have not heard from her. I don’t know what is wrong.
-31	-35	2	11	1	-2	0	44	Facilitator	"Thank you Karl. Sinus is caused from birth. It is a slight abnormality. When the baby is forming in the womb, there are special parts called 'arches' that form the babies mouth, eyes, ears etc."
-24	-34	0	25	1	-5	0	4	Peer supervisor	Jane what does your message mean? What do you want to know about?
-82	-34	0	32	1	24	0	26	Facilitator	Qiana I've left all the treatment kit at your house. We drove past but you were not in
-40	-34	2	17	1	3	0	54	Facilitator	Thanks for the reply. To answer Edwards point about itching ears. Itching of the ears can be caused by many things. 1. It can actually be caused by putting sticks or cotton buds into the ear... the sticks inflame the ear canal even more and keep the cycle of itching going. 2. It could be the sign of an early skin infection in the ear canal. If the ear canal is very red that might be a sign of infection. 3. It could be caused by a skin problem 4. It could be caused by a lot of wax.
-83	-31	0	53	1	26	0	4	CHW	We are hee in the road waiting for him with Gordon
-27	-27	0	17	1	0	0	10	Facilitator	" I have also asked some eye doctors I know to try and put a training case together for you to aid you. I know that some of you such as Jane, Luke, Harriet and Patricia requested for some training on the eyes. I will try help you with this."
-73	-27	0	33	1	23	0	17	Facilitator	 I will liaise with you about whether she should go to old or new mulago on Monday morning. She is aware she needs to attend.
-35	-25	0	7	1	5	0	23	Health Worker	Anyone with consent forms please?? Help me with some. 
-62	-24	0	23	1	19	0	20	Health Worker	 Edward where are you? I have used some of your consent forms. 
-68	-20	0	36	1	24	0	8	CHW	"There is something I haven't understood,  yesterday they announced that there  will be treatment of all in Byafula and they announced that even examining ears will be there in Byafula, now am hearing that we are going to Kirijja Butooke, now which is the right place we are going to be, because I was preparing to go but am not sure where to go either Byafula or Kirijja Butooke"
-35	-19	0	19	1	8	0	8	CHW	" Bryan you had promised to get me more material to use, as I told you am out of stock since we worked on many people yesterday, we were sharing them so my box is out of medicine, I don't know if I can get them tomorrow because I have patients to wash the ears, I may not manage to come at the organization, I will be happy if you do something for me."
-42	-18	1	13	0	30	2	-1	CHW	"Mr. Edward I personally think that patient should wait till May. We still don't know the exact date when the ENT specialists will be coming from different hospitals. Also, I think that person should prepare money to buy hearing aids, since you have examined the ear and there's nothing. Thank you so much."
-13	-17	2	46	1	-2	0	61	Peer supervisor	Thanks for talking to Luke about his reply to Mr. Matthew. I request whoever is able to meet him to continue clarifying to him on how to use the groups in a good way. Luke we request you ask for forgiveness from Mr. Matthew as a sign of respect because of his age.
-17	-17	0	6	1	0	0	11	Peer supervisor	Ok. Thanks but how about the Luke issue?
-17	-15	0	10	1	1	0	6	CHW	I have seen all the message though
-25	-15	0	16	1	5	0	4	CHW	"It going be there tomorrow, even me I have just received a message from him this morning, but it is tomorrow at 1pm at the church of the born again in Makata."
-21	-15	0	16	1	3	0	2	CHW	She is going back to the hospital today. 
-12	-14	0	13	1	-1	0	0	CHW	 The same thing to you.
-8	-14	2	-2	0	11	1	-1	Peer supervisor	 Thanks Dr Andrew I will be there and do it.
-21	-13	1	4	0	12	0	5	Facilitator	 Great - well done Dorothy and Francesca
-66	-10	0	38	2	12	1	16	Peer supervisor	The one you mentioned is not yet done because he is not around and he is to come back on Friday. But u had told her to come on Wednesday. But if it is Thursday it's ok I will let her know tomorrow early in the morning
-135	-9	0	72	2	12	1	51	Facilitator	Hi Karl. I think you have tried your best with this lady and if she doesn't want treatment that is fine. You are doing the right thing by not forcing her. I will go to seeta nazigo HC III tomorrow from 2pm if people come to do March payments and bring any issues or things to discuss.
-60	-8	0	34	2	7	1	19	Facilitator	Ok - to clarify -- OLIVE OIL IS NOT A MEDICINE. The olive oil just softens the ear wax to try max it easier to washout. It has no medical benefit.
-33	-7	0	13	1	13	0	7	CHW	I request Catherine to translate Dr. Andrew's messages to Luganda
15	-7	1	-11	0	-2	0	-2	CHW	Thanks Catherine and Dorothy our supervisor. 
-1	-7	0	0	1	-3	0	4	CHW	 I visited X for the second time and she told me she feels better now and she thanked me so much.
-56	-6	0	27	1	25	0	4	Peer supervisor	Jane can you let me know if you have any problem in being offline because we need you to keep following as well
8	-6	1	-7	0	0	0	-1	Peer supervisor	Thanks for the money. We really appreciate your support and encouragement. Great thanks go to Dr Andrew. God bless.
-5	-5	0	6	1	0	0	-1	CHW	"Thanks Dorothy for advising us but the problem we find now like me is for network, as you know Airtel Network"
-18	-4	0	-2	1	7	0	13	CHW	The day you saw me I was just from there. That was the time I washed out the ear. 
-4	-4	0	4	1	0	0	0	Facilitator	You're welcome
3	-3	1	-3	0	0	0	0	Peer supervisor	Thank u Edward
-49	-3	1	23	0	2	0	24	Facilitator	"I thank all the group members of Kirijja Butooke, Makata Seeta Nazigo for participating and responding to the cases, let's be together even for the next time when we get another question let's participate, where we don't understand let's ask our friends, we were told to read the manuals so that we prepare for the next program, thank you so much. I also thank Dr Andrew, and his translators Bryan and Catherine, thank you so much, you have tried so much to translate what is right from what we have been saying for example changing from English to Luganda and the vice versa"
-6	-2	1	2	0	4	0	0	Peer supervisor	Thanks Doctor.
-22	-2	1	10	0	-3	0	15	Peer supervisor	 I send my appreciation to my group mates and the Makata/ Seeta Nazigo group for the    work you have done. Thanks also go Dr. Andrew for your effort  and time for this project I also thank Catherine and Bryan for proper translation. God bless you and good night.
-3	-1	0	2	1	1	0	0	Facilitator	Learning how to use WhatsApp.
-1	-1	0	15	1	16	0	2	CHW	"Another thing Luke, I want to know is at Seeta Nazigo how many people were given olive oil and antibiotics because I didn't do well and was not given the equipment so I want to know how many are we in Seeta Nazigo who have the equipment which is enough. "
-1	-1	0	1	1	0	0	0	Facilitator	"Ok, thanks  "
0	0	0	4	1	6	0	2	CHW	"On the same case, we would like to talk about the issue of eye diseases becaut many people complain about eye problems, especially the adults like old people, when are we having training about the eyes, you told us that the ears work together with the eyes, there are many people who have problems of the eyes, will you also help us with the training so that we can also treat people with eye diseases or have knowledge about eye problems?"
0	0	1	0	0	0	0	0	Facilitator	Thank you Dorothy
-4	0	0	2	1	2	0	0	Peer supervisor	"And if you have a fellow VHT that you have worked with, you can just go into the contacts and look for the VHT. Then send a private message. "
0	0	1	0	0	0	0	0	Facilitator	Thank you 
-26	0	2	17	1	13	0	30	Facilitator	Dorothy is advising Gordon to first switch it off for about three minutes then switch it on again because she had the same problem .
0	0	1	0	0	0	0	0	CHW	Thank you for the work you have done for them because they have benefited a lot.
0	0	0	2	1	15	0	13	CHW	We are in the field. 
0	0	1	0	0	0	0	0	CHW	"Hello Mr Andrew, thanks for the work that you do for the country, people really appreciate what the project is doing, thanks be to God for bringing you back, thanks for the other day for treating patients, thanks for my kit. God bless you."
1	1	1	1	0	0	0	0	Facilitator	Thanks Luke
1	1	1	1	0	1	0	-1	CHW	Well done team
1	1	1	2	0	1	0	0	Facilitator	Thanks Edward.
1	1	1	1	0	0	0	0	Facilitator	Thanks Edward. 
1	1	1	18	0	18	0	-1	CHW	Have are you members. Am on air.
-29	1	0	16	1	15	0	-2	CHW	We are here at the HC with Andrew
2	2	0	6	1	9	0	1	CHW	Francesca we already went back home. 
-8	2	2	3	1	2	0	3	CHW	"Hello Mr Andrew, well-done, and welcome back from where you went, I have seen the kit, the child showed me I had gone to bring some food. Thank for all the work, thanks for treating the patients, thanks for the care, the patient appreciate all what we do, thanks , God bless you, I have seen all my things."
3	3	1	3	2	0	0	0	Peer supervisor	"Thanks for all your work today. If anyone wants me to do homevisits with them this week, please do let me know. "
3	3	0	3	1	18	0	12	CHW	"Luke, you're saying we are so quiet today yet we sent lots of messages yesterday? Mister today most of us spend the day at our places of worship. Not all of us are moslems."
-21	3	2	37	1	12	0	46	Facilitator	Hello VHTs. This group is for Seeta Nazigo and Makata VHTs. Dorothy is the supervisor. 
7	3	1	20	2	-2	0	15	Peer supervisor	"The members above, Mr Bryan and Mrs Dorothy thank you so much for taking that responsibility, it is true I also heard yesterday when our coordinators are not happy about people's feedback on the cases now like yesterday we had like five people who responded let us do our best. Even if you have the same answer with another person, give yours such that they can here your views as well. Thank you so much."
3	3	1	5	0	3	0	-1	Facilitator	 That is great - and thank you for Edward for meeting with Harriet
-148	4	2	77	1	-1	0	72	CHW	"Thank you so much Andrew for the information you shared yesterday, what I would like to learn more about, you may find a person with too much pus in the ear, even if you washout the ear, the pus doesn't stop or reduce, my question is, is there somewhere that the pus hides in the ear drum? And if yes, doesn't it affect someone when the pus hides somewhere in the ear? Can't the pus go through the mouth and accidentally someone eats it and gets another problem? Am still wondering about this and it confuses me whereby I need to learn more, and lastly the holes in the ear drum, how are they caused?"
4	4	1	8	0	3	0	1	CHW	 Harriet the program is so good. But you ought to remind the people by sending messages like on Tuesday.
4	4	0	3	1	21	0	14	CHW	"It would work for me well, but where doctor has gone to find Gordon that is where my patient is that I am going to examine. "
-37	7	2	17	1	5	0	15	Facilitator	Karl performing a whisper hearing test. Well done Karl. He has found a lady with hearing loss.
7	7	1	11	0	4	0	0	Facilitator	We want to help and appreciate the work you are doing
7	7	1	10	0	0	0	3	CHW	 Good morning our supervisor. Thanks for the work. Thanks for looking out and updating us about Francesca because some of us had no idea what was going on. I wish you a happy Easter. Have a good day.
7	7	1	39	0	22	0	10	CHW	"How has your day been fellow health workers? Thanks for today's work. I welcome back my supervisor Dorothy from the home visit. It went well and we did the work successfully. Thanks for your commitment and love for people and your job. Keep it up! So my fellow health workers, if anyone is ready to be accompanied our supervisors are available. They are simple and approachable so you just have to call them and let them know of the time. They also love their job. Thanks so much but supervisor Dorothy, welcome back and hope you reached home safely. May God be with you. Good night."
6	8	2	1	1	12	0	5	Facilitator	OK thanks Isabella. I'm just in the youth corner.
-166	8	0	79	2	11	1	76	CHW	"Bryan, that lady you see has pus in the ear as well as a hole in the ear drum, she needs antibiotics, am here at the health centre as we discussed if you can come and assess her because I have finished the washout."
9	9	1	20	0	12	0	-1	Health Worker	Good evening!
-37	9	2	60	1	23	0	74	Facilitator	Bryan or Catherine do you mind dropping some consent forms off for Rachael at SN HC III and at the same time seeing this patient with the pus? Thank you guys. 
10	10	1	11	0	0	0	1	CHW	God blesse
11	11	0	7	1	24	0	6	Health Worker	I have a client with pus
11	11	1	26	0	14	0	1	Health Worker	Good morning how are you all?
13	13	0	23	1	32	0	-4	Facilitator	Oliver is doing his home visit now .
13	13	0	43	1	60	0	4	CHW	"Edward I am also on the way coming. I am with a patient who has pus in the ear, I am on the way coming but if you at the health center yu can send me a boda so that I can be there on time. "
3	13	0	28	2	5	1	36	CHW	Bryan or Catherine I have a patient here who has a swelling on the ear and says it is painful. From the way I see it it keeps swelling because it started as a baby so what can I do for them. Please let me know so that I can inform the mum. 
-109	13	2	57	1	4	0	48	CHW	Thank you health worker Bryan but we are confused. Because you said Seeta Makata. Do you need Seeta Nazigo? 
13	13	1	15	0	3	0	-1	CHW	" Thank you all for the work u have done including Andrew, Catherine, Bryan, Oliver and Gordon"
14	14	0	21	1	34	0	-1	CHW	Where are you now?
14	14	0	19	1	42	0	9	CHW	"Doctor Andrew we have heard the information about meeting tomorrow at 2pm but I would like to inform our supervisor Dorothy that the people she told me to follow up and do the washout, I did but didn't see a patient called X up to now."
14	14	1	20	0	-1	0	7	Facilitator	Well done. 
