Prediction	primarySupervisoryCategoryAdaptedFromVuHenrysPaper	secondarySupervisoryCategoryAdaptedFromVuHenrysPaper	tertiarySupervisoryCategoryAdaptedFromVuHenrysPaper	quaternarySupervisoryCategoryAdaptedFromVuHenrysPaper	fifthSupervisoryCategory	sixSupervisoryCategory	Sender category	Anonymised message
Communication and information - giving information	Communication and information - logistics and planning	Communication and information - giving information	Supportive environment - thanks	NA	NA	NA	CHW 	Thanks Dorothy our supervisor. I have received the news but the problem with my phone is it loses WhatsApp. I actually gave it to Andrew and Bryan too. Also yesterday we were attending a burial then we got disturbed by rain and my phone battery died. Anyway I am not sure what time it will be on Thursday.
Communication and information - training	Supportive environment - mutual learning	Supportive environment - Greetings	Supportive environment - thanks	NA	NA	NA	Peer supervisor	"Greetings fellow health workers and thanks for all the work you're doing. They have sent us those videos above and asked us to watch them, especially the last one then we say what we think of them. These are the notes I have taken. Washing hands is really important for the person mixing the solution and the care taker. It is also important to note that the packet of ORS is poured in one litre of water. The people in the rural areas should be told one litre equals four cups and the water has to be safe. One may see water that appears clean and think it's safe yet it's not boiled therefore we should tell people safe water means boiled water that has been stored well. We should also keep teaching care takers how to give ORS and to ensure all the things used to mix and store it are clean. Since we have discovered that it is common among children, parents must know the number of times to give the ORS and the time to do it. The parent must also know that the things used to mix the solution should be used for one day. She must cover it if not giving it to the child and also keep it in a clean place so as not to get contaminated. Thank you so much."
Supportive environment - mutual learning	Supportive environment - apology	Communication and information - giving information	Supportive environment - Greetings	Supportive environment - Religion	Supportive environment - thanks	NA	CHW 	Greetings fellow health workers. Thanks so much for replying to yesterday's question. I am sorry someone used my data and I didn't receive any messages yesterday so I assumed there was none. It was only at night that I started wondering so this morning I sent a child to town that was actually seen by the supervisor to buy me some data and that's how I have managed to switch it on. I am not always disobedient but I am so sorry to all my fellow members. I apologize to all our bosses as well for not answering the question. May God bless all those who answered yesterday's question. Thank you so much but I am personally so sorry. It's me Hadijja.
Communication and information - logistics and planning	Communication and information - giving opinion	NA	NA	NA	NA	NA	CHW	"Catherine, yesterday you told us you were going to ask one question so I thought since yesterday today you were just going to ask about one section. "
Supportive environment - mutual learning	Communication and information - training	Supportive environment - Greetings	NA	NA	NA	NA	CHW 	"C. For such people, I can only counsel them because it's all I can do. All of us VHTs cannot do much about that. You can ask them if they have their people who can help them and if they say no, you go ahead and counsel them so they don't feel stressed. My regards to you all fellow VHTs. I remain Nora, seeta Nazigo."
Quality assurance - patient management	Communication and information - training	NA	NA	NA	NA	NA	Peer supervisor	"I have seen that patient, after seeing them and doing all that I send them to a specialist for futher examination. The specialist can see what to do for that one. "
Quality assurance - patient management	Communication and information - training	Supportive environment - Thanks	NA	NA	NA	NA	Facilitator 	Thanks Jane. Correct that you give ORS. But you should give it for longer than one day as the child needs time to replace all of the salt they have lost from their body
Communication and information - logistics and planning	Quality assurance - patient management	Communication and information - clarifying information	NA	NA	NA	NA	Facilitator	 Francesca told me that the mother was waiting for me to take her to Mukono HC IV on last Friday at 2pm. I don't know may be she is still expecting a lift to the Health Centre. I was thinking of passing by her house today.
Supportive environment - mutual learning	Communication and information - training	NA	NA	NA	NA	NA	CHW 	Even if I see the symptoms I need to check their blood.
Communication and information - making a request	Communication and information - acknowledgement	NA	NA	NA	NA	NA	CHW	Hi   
Supportive environment - mutual learning	Communication and information - training	Supportive environment - apology	Communication and information - giving information	NA	NA	NA	CHW	"VHTs I ask for forgiveness my phone was off. I have just seen the question. The first question. I first introduce myself. Then I tell the person my name. Then I ask for permission to examine the patient. Then I ask for sterile water, wash my hands, examine. Then I ask for a history. I write the history in the book. As I fill in the questions. "
Communication and information - clarifying information	Quality assurance - patient management	Communication and information - training	Communication and information - logistics and planning	Supportive environment - encouragement and praise	NA	NA	Facilitator	That is a preauricular sinua. Catherine and Bryan can assess them but the main thing to see if if it is swollen and infected. It looks slighlty swollen to me from the photo. If so they need to be urgently sent to Mukono HC 4 to have it drained and excised. Well done for sending the photo but please use the seeta nazigo group to send these messages
Communication and information - making a request	Communication and information - requesting information	NA	NA	NA	NA	NA	Facilitator	Dorothy.... Where is this boy???
Quality assurance - patient management	Supportive environment - apology	Communication and information - logistics and planning	Supportive environment - moral support	NA	NA	NA	Peer supervisor 	" Sorry Matthew about the pain in your leg, and reminding Francesca about Tendo, but am requesting you that if you have any problem about using the groups try to get some one who knows like Francesca, Byamukama and other people in the other groups, we work together and see how we can solve that problem."
Supportive environment - encouragement and praise	Communication and information - acknowledgement	NA	NA	NA	NA	NA	Facilitator	You're welcome Daniel
Communication and information - training	Quality assurance - patient management	NA	NA	NA	NA	NA	CHW	"Andrew there is a patient who has a lot of wax, the patient doesn't hear well, someone needs to talk facing the patient before the he or she hears."
Supportive environment - encouragement and praise	Communication and information - acknowledgement	NA	NA	NA	NA	NA	Peer supervisor	You are welcome. 
