Prediction	primarySupervisoryCategoryAdaptedFromVuHenrysPaper	secondarySupervisoryCategoryAdaptedFromVuHenrysPaper	tertiarySupervisoryCategoryAdaptedFromVuHenrysPaper	quaternarySupervisoryCategoryAdaptedFromVuHenrysPaper	fifthSupervisoryCategory	Sender category	Anonymised message
Quality assurance - patient management	Supportive environment - moral support	NA	NA	NA	NA	Peer supervisor	 I will try tomorrow to see her physically and talk to her about that issue. Thanks.
Communication and information - giving information	Quality assurance - patient management	Supportive environment - mutual learning	Communication and information - making a request	Supportive environment - greetings	NA	Facilitator	"Greetings to you all VHTs. I have come across one of the inlaws in my household, I have checked her ears there is no pus, but she has tinnitus and itching. What can I do for her? If you hear this audio please let me know what to do. The lady is 22 years old. Please give me your advice my VHTs. "
Supportive environment - apology	Communication and information - giving information	Supportive environment - apology	Supportive environment - greetings	NA	NA	CHW	"I welcome all the VHTs from the assessment in Seeta Nazigo, I have not been able to be available in the ear camp at 2pm because we have lost someone in Makata and am concerned, so after the assessment I have rushed there, am so sorry"
Supportive Environment - Thanks	Communication and information - acknowledgement	NA	NA	NA	NA	Facilitator	Thanks
Quality assurance - patient management	Supportive environment - encouragement and praise	Quality assurance - patient management	Supportive environment - greetings	Supportive environment - religion	Supportive environment - apology	Peer supervisor	"Good morning members, thanks for yesterdays work. Those who are ill, God will protect you. As you also care about yourself taking medicine. I want to inform you at this moment that Andrew is at the health centre. He wants to review all patients for those who have ones who need review. He apologised he was not able to be here yesterday as he had no mean of transport. But now he is here. Bring your patients so they can be seen. Because we are trying to prepare to see Dr. Simon and those ones who might go to Mbarara. It is better to see that we get all patients seen right now do they can be selected for the health centre. That is what I want to tell you. Don't loose this opportunity. I apologise to the patients who came yesterday, and didn't get treatment and inform them why they didn't get treatment because it is better for someone to know the reason - even if they didn't get what they wanted. I wish you a good day. "
Communication and information - acknowledgement	Supportive Environment - Thanks	NA	NA	NA	NA	CHW	My friend Dorothy - thanks. Thanks for correcting me. I also forgot. 
Communication and information - requesting information	Communication and Information - Logistics and Planning	Communication and information - giving information	NA	NA	NA	Health Worker	 Edward where are you? I have used some of your consent forms. 
Communication and Information - Logistics and Planning	Quality assurance - patient management	Communication and information - making a request	NA	NA	NA	Facilitator	Edward the patient Veronica who you referred has got ear wax in both ears. I have given her the olive oil drops and she needs to have a washout and dry mopping in 4 days (Friday). If she comes to seeta nazigo on Friday can you do this at 2pm?
Communication and information - making a request	Supportive Environment - Encouragement and praise	Supportive environment - greetings	Communication and information - clarifying information	NA	NA	Peer supervisor	"Greetings members, thank you for today's work, I saw todays message in English and Luganda and it has the same meaning. If there are some photos you can also share "
Communication and information - giving information	Supportive environment - moral support	Communication and information - giving information	Quality assurance - reprimand	NA	NA	CHW	Nora I am sorry you are suffering. But you are sending too many messages and it is blocking up our phone. Please send the messages to your individual supervisors. Thank you. I say this respectfully. 
Communication and information - giving information	Communication and Information - Logistics and Planning	Supportive environment - encouragement and praise	NA	NA	NA	Facilitator	Hello I'm at the health centre sat in the youth corner. If any vhts need to see me or get me to review any patients please bring them
Communication and information - training	Quality assurance - patient management	Quality assurance - referral	Supportive environment - encouragement and praise	NA	NA	Facilitator	"Some important messages. This is really important so if you are mentioned make sure you take action as we will be following this up. If you have seen a patient and identified a problem you must give them treatment and follow up to see if it has worked. If it has not worked you must refer them and make sure we know about it. 1. Dorothy. A. You saw patient called Xander, 30 years old, male on 6th February. They had right sided ear wax. You said you gave olive oil and they needed a washout on saturday. Please confirm when you have done this and the outcome. B. You referred a 53 year old lady who came to see you who had been using antibiotic drops in her right ear. She was seen by us at Seeta nazigo yesterday. She has some hearing loss and some wax in the ear. She needs to be followed up on Friday and assessed to see if she needs a referral to mulago. 2. Luke. A. You saw a 1 year old boy. He has a left ear drum perforation. We washout and dried. We gave antibiotic ear drops. Dr. Zanetta will see him Monday morning at mulago old hospital ent outpatient clinic. Please make sure mum takes him and report back to us the outcome. B. You saw a 5 year old girl with her grandmother yesterday. She needs a follow up on Friday morning with us to see if the antibiotics are making things better. If not she needs a referral to mulago. C. You saw a 69 year old lady on 6th february. Her image has been reviewed by Dr. Arthur. He said it is just wax and itching should settle down over time. Please reassure her. 3. Gordon. A. You saw the 21 year old girl yesterday with the perforation of the ear drum. We need to follow her up Monday afternoon. All other VHTs keep up your good work."
Communication and information - giving information	Communication and information - training	NA	NA	NA	NA	Facilitator	Oliver is answering the question. He says he will first wash the boy's ears then after put antibiotics.
Supportive Environment - Encouragement and praise	Supportive Environment - Thanks	Supportive environment - encouragement and praise	Communication and information - acknowledgement	NA	NA	Facilitator	"You are most welcome Edward, thanks for the hard work and all the regular responses. Let's all keep the good work and learn from each other."
Communication and information - requesting information	Quality assurance - patient management	Supportive environment - greetings	Supportive Environment - thanks	NA	NA	CHW	" Edward, greetings to you. Thanks for all you're doing. The other lady called Miss  X told us when she came to Seeta you worked on her. But again she met us with doctor and told us she feels pain. Doctor examined her and told her she had sticky wax that will need to be removed may be when the other specialists come. We told her we shall tell her the dates they will be coming so she goes to Seeta Nazigo. That's what I wanted to let you know."
Communication and information - giving information	Communication and information - clarifying information	NA	NA	NA	NA	Facilitator	If you don't have a treatment  kit yet it is because either a. In the tests you needed extra assesment or b. On home visits you have not made correct decisions or recorded things poorly. We will continue to assist you but we want to make sure things are done properly as this is a very important role.
Communication and Information - Logistics and Planning	Communication and information - giving information	Supportive environment - thanks	NA	NA	NA	CHW	"Hi Bryan, thanks for the work, I came at the Organization but I didn't find you, I wanted to inform you that on Wednesday I may be so late, we have a family meeting which is so urgent, but when they start earlier I will join you that is why I had come to let you know"
Communication and information - clarifying information	Communication and information - giving information	NA	NA	NA	NA	CHW	Wait for the photo. 
Supportive environment - apology	Supportive environment - moral support	NA	NA	NA	NA	Peer supervisor	" Luke, very sorry but we share the pain with you."
Communication and information - giving information	Communication and information - clarifying information	NA	NA	NA	NA	CHW	He is answering a case but in a wrong group
Supportive Environment - Encouragement and praise	Supportive Environment - Greetings	NA	NA	NA	NA	Facilitator	Greetings VHTs. I hope you all had a good weekend.
Communication and Information - Logistics and Planning	Communication and information - giving information	Communication and information - logistics and planning	Supportive environment - greetings	Supportive Environment - thanks	NA	CHW	"Good morning Bryan, I received both the audio message and the written one about the other patients.  I have informed the household head and at 10am they will be at the Health centre where you will find them, thank you so much."
Communication and information - giving information	Communication and Information - Logistics and Planning	Quality assurance - outreach work	NA	NA	NA	CHW	"Hi Isabella, I was suggesting about the other issue where we mobilized people remember we had told all them that all those with ear problems should come at the Health Centre to be assessed on 5th, which is not right, we are supposed to assess them firs before referring them to the Health Centre. So I was suggesting that since we are heading to another Sunday, you go there and clarify on the information and tell them how it is going to be. Where you can't reach you can write to them letters in churches around them because they may mobilise a lot of people who may take a lot of time."
Communication and information - giving information	Communication and information - making a request	Communication and information - giving information	NA	NA	NA	Health Worker	Any one with consent forms??  I don't have any yet I have many clients
Communication and information - giving information	Supportive Environment - Encouragement and praise	NA	NA	NA	NA	Facilitator	Please feel free to write your own cases by the way like Catherines has been doing. You are free to write your own cases in the case group :)
Communication and information - requesting information	Communication and information - making a request	Communication and information - training	Communication and information - giving information	Supportive environment - thanks	Supportive environment - religion	CHW	"Good morning fellow VHTs. Thanks for today's work. Thank God who has kept us. Good morning our bosses Dr Andrew, Bryan, Catherine and Hannah. Thank you for the work you're doing for us. VHTs and our bosses, I would like your advice. In case one day I kill a snake and then after leave it somewhere, and then the insects eat apart of it but again comeback to my house.  In case those insects get in contact with things that I eat,  is it poisonous? Or if they bite me after eating the snake? Does it affect me? What happens exactly? Please advise me because a lot of people in my village may fall prey. That's my question. I request fellow VHTs, Doctor, Bryan, Catherine please tell me because I personally don't know. Thanks so much. Mulungi is sick with malaria and flue but I gave her treatment. May God be with you."
Communication and Information - Logistics and Planning	Supportive environment - apology	Communication and information - giving opinion	NA	NA	NA	CHW	"Dear supperviiser Dorothy, lam sorry to inform you that tomorrow l won't be able to attend vhts' meeting due to the fact that tomorrow lam too committed. But still my vote goes to you to speak on the behalf of we vhts on eleventh July two thausand ninteen."
Communication and information - giving information	Quality assurance - patient management	Communication and information - giving information	Communication and information - making a request	Supportive environment - thanks	NA	CHW	Now Bryan. I request you inform Andrew that I am attending a burial. My friend lost a child. The place is called Busimbe. I may not be able to attend the meeting. But I request you to help me and work on those people we called today. Because they may come when I am not there. Plese help me and give them treatment even if they are not there. Thank you so much. 
Supportive Environment - Encouragement and praise	Supportive Environment - Thanks	NA	NA	NA	NA	CHW	Thank you for the work you have done for them because they have benefited a lot.
Communication and information - clarifying information	Communication and information - acknowledgement	NA	NA	NA	NA	Peer supervisor	Okay doctor
Communication and information - training	Communication and information - giving opinion	NA	NA	NA	NA	CHW	I have seen the photo - it seems the person is so sick. They mght cut the leg off. 
Communication and information - making a request	Communication and information - training	Communication and information - making a request	NA	NA	NA	CHW	"On the same case, we would like to talk about the issue of eye diseases becaut many people complain about eye problems, especially the adults like old people, when are we having training about the eyes, you told us that the ears work together with the eyes, there are many people who have problems of the eyes, will you also help us with the training so that we can also treat people with eye diseases or have knowledge about eye problems?"
Communication and information - acknowledgement	Supportive environment - encouragement and praise	NA	NA	NA	NA	Facilitator	Totally correct. Thanks Rachael
