Prediction	primarySupervisoryCategoryAdaptedFromVuHenrysPaper	secondarySupervisoryCategoryAdaptedFromVuHenrysPaper	tertiarySupervisoryCategoryAdaptedFromVuHenrysPaper	quaternarySupervisoryCategoryAdaptedFromVuHenrysPaper	fifthSupervisoryCategory	Sender category	Anonymised message	
Supportive Environment - Encouragement and praise	Supportive environment - greetings	NA	NA	NA			Facilitator	Hi Qiana. We dropped the treatment kit off at your home today
Communication and information - giving opinion	NA	NA	NA	NA			Facilitator	Luke have you forgotten the purpose of the group? 
Supportive environment - apology	Communication and information - acknowledgement	NA	NA	NA			Peer supervisor	VHT Luke thanks. You did not tell us about the people you sent. Did you examine them? Why did you send the video? It is not relevant for the work. You have to be careful as last time you were so harsh to Matthew. I don’t know what to say as you are making more mistakes. 
Communication and Information - Logistics and Planning	Supportive environment - thanks	NA	NA	NA			Facilitator	"I thank all the group members of Kirijja Butooke, Makata Seeta Nazigo for participating and responding to the cases, let's be together even for the next time when we get another question let's participate, where we don't understand let's ask our friends, we were told to read the manuals so that we prepare for the next program, thank you so much. I also thank Dr Andrew, and his translators Bryan and Catherine, thank you so much, you have tried so much to translate what is right from what we have been saying for example changing from English to Luganda and the vice versa"
Supportive Environment - Encouragement and praise	Supportive environment - religion	Communication and information - acknowledgement	NA	NA			Peer supervisor	" Harriet God bless you in everything, may He make everything easy for you in the your transportation and all the arrangements of the ceremony and may He help you to achieve you goals, God bless you and I wish you well. Another thing as you informed us, we would be wondering where you are but its good that you have informed us in time, let us see if possible those who will manage will join you, and for us who may not manage just know we are together. May God be with you."
Supportive environment - moral support	Supportive environment - thanks	NA	NA	NA			CHW	"Thanks for sharing but for us who produce we are facing a lot of problems. We mothers are suffering so much, to produce such people who are heartless, and yet they fear to die. "
Supportive environment - religion	NA	NA	NA	NA			Health Worker	Rachael has joined you too
Quality assurance - reprimand	Quality assurance - record keeping	NA	NA	NA			Facilitator	You examine them. If you have a treatment kit and you think they have a simple problem treat. However if you don't have a treatment kit yet or you think they have a bigger problem refer to us to see them. Also everyone should be recording whoever they see in their books even if they don't need treatment. That way we can have a clear record of who needs and who doesn't need follow up.
Communication and Information - Logistics and Planning	Communication and information - logistics and planning	NA	NA	NA			Facilitator	Karl I have arranged an audiological review for your two patients. I will send you details of the appointment . it will be in Kampala and they will have to cover their own transport there however I will pay for their assessment so this will be free. After the assessment has been done they will assess for suitability for a hearing aide
Communication and information - giving information	Supportive environment - mutual learning	Communication and information - giving information	Supportive environment - greetings	NA			CHW	"Greetings VHTs welcome back from the churches, that child I have sent on that video is called X, she has wounds around the whole ear I think even the inside the wounds here in Buganda are called ""Amaddu"""
Communication and Information - Logistics and Planning	Supportive environment - greetings	Supportive environment - encouragement and praise	NA	NA			CHW	Good morning Gordon - thanks for everything you did yesteday. Have you taken your consent forms already? The ones I did were taken my Dorothy to Seeta but otherwsie I can take yours to doctor as I am going there right now. 
Communication and information - responding to a request	Supportive environment - encouragement and praise	Supportive environment - greetings	NA	NA			Facilitator	Greetings. Thanks for the work you are doing. Starting from next week we are going to start having cases and questions which we will give you. You have to reply. What you have to do is to read your booklets and the papers that you are given. Whoever has a question we are ready to answer. 
Supportive Environment - Encouragement and praise	NA	NA	NA	NA			Facilitator	This is really poor
Supportive environment - religion	Communication and information - acknowledgement	Supportive environment - greetings	NA	NA			CHW	"Mr. Edward, the idea of taking the training in church is very good because there are always many people in church and it is easy to get them as compared to house to house visit, it is a very good idea and it will help, thank you have a nice weekend."
Quality assurance - patient management	NA	NA	NA	NA			Peer supervisor	You should have brought the patient when the supervisors were still around. They told us to come back on Monday. 
Quality assurance - record keeping	NA	NA	NA	NA			CHW	Are we supposed to move individually on our LCs as we do our house visits as VHTs?
Supportive Environment - Encouragement and praise	Supportive environment - encouragement and praise	Supportive Environment - thanks	Supportive environment - greetings	Supportive environment - religion			Peer supervisor	"Greetings my fellow VHTs, thanks for the work your are doing, I wanted to remind you that Andrew is willing to go on a home visit today with anyone who have appointments of home visit, if there is anyone who made an appointment with Andrew I request you to be there on time that you agreed, I wish you all the best wherever you will be going, Gob bless you such that everything works well."
Communication and information - requesting information	Communication and information - acknowledgement	NA	NA	NA			Peer supervisor	Ok. Thanks but how about the Luke issue?
Supportive environment - religion	Supportive environment - thanks	Supportive environment - greetings	NA	NA			CHW	"Greetings VHTs, thank you for the work you are doing, I take this opportunity to inform you the on 13th I call all VHTs at X's place, there will be a ceremony of praying for the people we lost, the program will start at 10am, there will be some Moslem prayers then after the Christians will have there Reveland to preach up to 1pm then we have lunch. Please be there on that day shortly after we leave our celebrations of OmniMed"
Communication and information - making a request	Communication and information - acknowledgement	Supportive environment - encouragement and praise	NA	NA			CHW	"Thanks so much. Harriet your question is so good and it's always good to know something before you get a problem. This is my reply to you. A snake or rather it's body doesn't have any poison but there's a specific place where that poison is. I remember sending you a picture of a woman eating a snake. A lot of people eat snakes like Chinese, Phillipinos and others. Let me look for that photo and send it to your inbox. It means when an insect eats it, it cannot affect you. I think I've replied to your question that insects don't spread venom. Let me send you a photo of the woman eating a snake and she only removed the intestines and the part with poison."
Supportive Environment - Encouragement and praise	Communication and information - acknowledgement	NA	NA	NA			Peer supervisor	 No problem. You will catch up slowly by slowly. We are also challenged by many things and are still learning
Supportive Environment - Encouragement and praise	Supportive environment - moral support	Supportive environment - greetings	NA	NA			Facilitator	 Hope all VHTs have a blessed Sunday. Thank you Edward for your encouragement . Harriet your ear might be irritated by the cold or the weather. I am happy to look at it for you next week when I'm back in makata.
Communication and information - giving information	Supportive environment - greetings	Supportive Environment - thanks	NA	NA			CHW	"How are you Harriet, thank you for the clarification about the Doctor who is coming on 5th. Some of our VHTs had made a mistake of mobilizing the people to come on 5th where some were asking for loud speakers to pass through people while informing them like those of Kirijja butooke which is not right.  The right thing is that one you are trying to clarify, because even me I was here today and a certain lady who was in church and she said they were told in church to go to the Health Centre for treatment. I forwarded another one to you who was also having the same information, I told her to come to you for assessment first, and if her problem is worse that's when she will be able to see the Doctor."
Supportive environment - moral support	NA	NA	NA	NA			CHW	It is a pity I didn’t go to burial. 
Communication and information - acknowledgement	NA	NA	NA	NA			CHW	Thanks Karl. Come we eat together
Communication and Information - Logistics and Planning	Supportive environment - thanks	Supportive environment - greetings	NA	NA			CHW	"Good morning Luke. Thanks for the work you're doing. The issue you discussed with Oliver, I agree that we need to work as a group. As one person it is tiresome. It affects us so much, you have to move, sort out your children, pick up your kids from school, that means you can't see as many patients. What you talked about is so good. We can start doing it next week. "
Supportive Environment - Encouragement and praise	Supportive Environment - thanks	NA	NA	NA			Facilitator	Thanks Gordon. We can do a case about Tinitis (ringing in the ear) next week to help train you. Thank you.
Supportive environment - religion	NA	NA	NA	NA			CHW	"VHT Oliver what you are going to do is to stop using pick ups and trucks, not in a bad way but if you know that is where the problem comes from, because even the Bible says avoid any ways that bring harm, so when you think that it will affect you, don't use the open cars, there is nothing to do."
Communication and Information - Logistics and Planning	Supportive environment - greetings	NA	NA	NA			CHW	" Greetings dear VHTs, I heard that the Doctor will be examining only patients who have been reviewed by the VHTs, what of those we have mobilized like from the churches, since the village is big we have not managed to review all of them, what are they going to do because we told them that Doctors are coming at the Health Centre? Are we the ones going to review them before they meet the Doctor?"
Quality assurance - patient management	Quality assurance - patient management	NA	NA	NA			CHW	" The truth is that the lady did not go, she told me the she had no money to take her to Mulago that why she didn't go. That her husband ran away from her, I request if possible you go with her to Mulago if you got space in your car, am waiting for the response if possible I go in the morning and I tell her to join you such the she can go to Mulago."
