Prediction	primarySupervisoryCategoryAdaptedFromVuHenrysPaper	secondarySupervisoryCategoryAdaptedFromVuHenrysPaper	tertiarySupervisoryCategoryAdaptedFromVuHenrysPaper	quaternarySupervisoryCategoryAdaptedFromVuHenrysPaper	fifthSupervisoryCategory	Sender category	Anonymised message
Communication and information	Quality assurance - patient management	NA	NA	NA	NA	Facilitator	No need to give antibiotics 
Supportive environment	Communication and information - training	Communication and information - requesting information	Supportive environment - Greetings	Supportive environment - thanks	NA	Facilitator	"Good morning VHTs and thanks for the work. This case is focussed on malnutrition in children.

By the end of the case you should be able to:

1.	Define malnutrition (Monday)
2.	Know the importance and causes of malnutrition (Monday) 
3.	Recognise the signs of malnutrition in a child  (Tuesday) 
4.	Know how to use a Mid-Upper Arm Circumference (MUAC) tape to assess a child for malnutrition (Wednesday) 
5.	Know the basic management plan for a child with suspected malnutrition identified in the community (Thursday)
6.	Know the important health messages they can give to caregivers to about nutrition (Friday) 

Case: You are on a home visit in Kavuule with your supervisor. At this house there is a 8 month old baby boy, Enoch. You are worried that he looks very thin and want to assess him for malnutrition. 

A.	What do you understand by the term malnutrition? B.	What are other words or terms for malnutrition in the community? C.	Why is malnutrition in childhood a problem? D.	What are some of the reasons and causes why a child might be malnourished? 
"
Supportive environment	Communication and information - training	Supportive environment - Greetings	NA	NA	NA	Facilitator	Good morning VHTs. Here is todays question. How can you recommend community members to prevent malaria? Do you have any questions about malaria or this case which you are uncertain of and would like us to answer?
Supportive environment	Communication and information - training	Supportive environment - Greetings	Supportive environment - encouragement and praise	NA	NA	CHW	" Greetings fellow VHTs and well done! That child has a pre-auricular sinus. As a VHT, I would advise them to get pain killers and also refer them to specialists. Thank you."
Supportive environment	Communication and information - training	Supportive environment - apology	Communication and information - giving information	Supportive environment - thanks	Supportive environment - religion	CHW	"Greetings fellow VHTs and thanks for all the work you're doing for the country. Thanks for all you have sacrificed to treat people. May God bless you. I am sorry for being silent but it's because I lost someone and just came back on Sunday night. I turned off data during the period and forgot to turn it on. I also had malaria, was so down and it's only yesterday that I got some energy to go to Seeta but I am sorry for not replying to the question on Monday and Tuesday. Now this is my answer to today's question. When the mother asks the cause of acute otitis media, I tell her the child's immunity is still very low. I also explain to her that the condition is temporary. Regards to you all and I wish you well as you answer the questions. Catherine, Andrew and Bryan, I am on my way coming. May God bless you."
Supportive environment	Communication and information - training	Supportive environment - encouragement and praise	Supportive environment - thanks	NA	NA	Facilitator	Thank you Nora. You have answered very well but you have not shown us which ear is normal or abnormal. Another thing you have not ticked the bit where it shows wax. You have also not ticked if they have hearing loss. 
Supportive environment	Communication and information - training	Supportive environment - greetings	Supportive environment - thanks	NA	NA	CHW	"Greetings my fellow VHTs. Thanks for yesterday's work. It's been awhile since we last communicated but it's because I had gone to visit a patient somewhere. My reply to today's question is, that disease called cholesteatoma is one we can't tamper with. In case I confirm she has it, I immediately refer her to an ENT surgeon. I see her ear doesn't look well. When I look inside it has pus, and a perforation of the ear drum. That patient needs a washout. After washing out I give antibiotics. Then I do follow up. "
Supportive environment	Communication and information - training	Supportive environment - Greetings	NA	NA	NA	CHW	" Greetings to you all VHTs. All the symptoms show she is dehydrated therefore I give her first aid of ORS. I can mix the ORS and give it to Patricia's mother. I then advise her to give it to Patricia as she takes her to the health centre. When she gets to the health centre, I may have written the referral form for the nurses to see what the problem is. If not, I escort them and explain it to the nurses so they can put the child on drip immediately."
Supportive environment	Communication and information - clarifying information	Quality assurance - patient management	Supportive environment - apology	NA	NA	Facilitator	Hi Harriet. Sorry for the delay in replying. Did you find someone to help you film your video? Did you find out if they were malnourished ?  If you need to advise the mother then tell her to go to the health centre for an assessment by wicliffe
Communication and information	Quality assurance - patient management	Communication and information - acknowledgement	NA	NA	NA	Facilitator	I agree with the suggestion put forward by our dear vhts to invovlve the extended family. Since this child is severe acute malnutrition feeding them more food alone will not work at first. She needs a special diet which can only be done in a hospital. Once she has regained strength then she can resume on a normal diet. However even then when she is returned to the mum someone will have to monitor her as she can easily fall sick again.
