Prediction	primarySupervisoryCategoryAdaptedFromVuHenrysPaper	secondarySupervisoryCategoryAdaptedFromVuHenrysPaper	tertiarySupervisoryCategoryAdaptedFromVuHenrysPaper	quaternarySupervisoryCategoryAdaptedFromVuHenrysPaper	fifthSupervisoryCategory	Sender category	Anonymised message
Communication and information	Supportive environment - moral support	NA	NA	NA	NA	CHW	Hope you reached hope safely 
Communication and information	Quality assurance - consent taking	Supportive environment - Thanks	NA	NA	NA	CHW	"Thank you but remember they told us before taking any one's photo, we need to ask for their permission. You just can't take a photo of someone's child. I thought it wouldn't be possible because we are from the same village but our supervisor Dorothy also went there and they still didn't agree."
Communication and information	Supportive environment - encouragement and praise	NA	NA	NA	NA	Facilitator	Please reply to the question for today. 
Communication and information	Supportive environment - greetings	NA	NA	NA	NA	Facilitator	Good doctor. 
Communication and information	Quality assurance - patient management	Communication and information - making a request	NA	NA	NA	CHW	"Now I have a problem. There is a patient I have here. She is 80 yo lady, I gave her ear drops which she has been using. Today is the 5th day. I have washed the ear, but I have seen the wax is near the canal. It is so hard you can see it without putting the otoscope, so even if you put tissue papers they can't go in. I request for one of our helpers to come help me. "
Communication and information	Quality assurance - patient management	Supportive environment - mutual learning	NA	NA	NA	CHW	"Also, if this person is in so much pain with pus coming from the hole I advise they refer them to a doctor who can operate that child. We may think it's a joke yet it's very serious. I am also not sure whether the pus is coming from the ear or the pre-auricular sinus. I am just not sure about that. If it is bad they need to be taken to an ENT surgeon to handle them. Thanks."
Communication and information	Quality assurance - patient management	Supportive environment - mutual learning	Supportive environment - greetings	NA	NA	CHW 	" Greetings to you all fellow health workers a part of the ear project and other things. I personally haven't understood something which I would like to before giving any advice. Edward does that man, woman or child feel pain at the hole we looked at last time or it's just swollen?"
Communication and information	Supportive environment - mutual learning	NA	NA	NA	NA	CHW 	 I would also like to correct Harriet. Brucella is not malaria but a disease of its own just like T.B.
Communication and information	Supportive environment - encouragement and praise	NA	NA	NA	NA	CHW	Please participate and answer the question asked so we can all learn from each other.
Quality assurance	Supportive environment - mutual learning	Communication and information - giving opinion	Supportive environment - Greetings	Supportive environment - Greetings	NA	Peer supervisor	"Greetings fellows. Since the one currently looking after the child has mental issues, there's a big problem. If Francesca said she will accompany them to the health centre, we appreciate it but we need to know their nearest VHT. We also need to know a relative who can get involved in this issue because we may dedicate ourselves to helping them and it becomes something else. We are all different. They may take it the wrong way and say we didn't involve them yet it appears they can no longer handle them. The VHT close to them should deal with their relatives who are not mentally ill to find a solution. In case they get treatment, the VHT has to monitor them to ensure they are being given food, medicine and that correct measurements are taken. This should be done with the help of the relative who should also accompany them to the health centre. That's my opinion."
Supportive environment	Communication and information - acknowledgement	Supportive environment - thanks	NA	NA	NA	Facilitator	"Ok Francesca, thank you. "
Communication and information	Supportive environment - mutual learning	Supportive environment - Greetings	Supportive environment - Religion	Supportive environment - apology	NA	CHW 	"Greetings again. I sent the message but it took awhile to be successfully sent because of data issues and I apologize for that. This is what I have to say about today's question. I have a challenge of not having medicine for certain illnesses like wounds and pus. We don't have that. There's a lady I once told Bryan about who has so many wounds in the ear but I have been unable to take her photo. I have tried looking for her but she went to the garden. She's elderly. Also Anna, she still has pus. Sometimes she gets well but when she travels she gets the pus again. I have been unable to find her too because I am sort of occupied but I am sorry. Regards to you all and I wish you a good day. May God be with you."
Supportive environment	Communication and information - training	Supportive environment - encouragement and praise	Quality assurance - health education	NA	NA	Facilitator 	Patricia - well done! Great video. All of the steps you did were correct. Fantastic. Please feel free to show these videos or share them with other community members on your home visits. They are great.
Supportive environment	Communication and information - training	Supportive environment - Greetings	Supportive environment - Thanks	NA	NA	CHW 	"Greetings to you all our health workers, Mwebe, Andrew, Bryan, Catherine and thanks for what you're doing for us. I would like to thank all the VHTs and our supervisors for everything you're doing. I can see a picture of someone either a child or an adult plus an ear which I think is the left one. If the person was born with that hole which we call lukatu in Luganda, it poses no threat. But from what we have been told if it causes problems like swelling, the advice I can give to the person is to refer them to an ENT specialist for further examination. The biggest problem is what we copy like pricking ears with machines which makes the ear look like two in one. That's my view. Thanks so much. It's me Matthew Johnson, VHT Makata."
Quality assurance	Supportive environment - mutual learning	Communication and information - clarifying information	NA	NA	NA	CHW	"That's where I beg Andrew that most villages did not get VHTs but they have ear problems, what are we going to do? We kindly ask for a response and we see what next because there are many villages which have no VHTs but they have ear problems. What are we going to do because they have started approaching us since they know we were trained. "
Quality assurance	Communication and information - training	NA	NA	NA	NA	Facilitator 	"The ear drum is red indeed Edward, however there is no pus there..."
