Prediction	primarySupervisoryCategoryAdaptedFromVuHenrysPaper	secondarySupervisoryCategoryAdaptedFromVuHenrysPaper	tertiarySupervisoryCategoryAdaptedFromVuHenrysPaper	quaternarySupervisoryCategoryAdaptedFromVuHenrysPaper	fifthSupervisoryCategory	Sender category	Anonymised message
Supportive environment	Communication and information - giving information	Supportive environment - encouragement and praise	Supportive environment - greetings	Supportive environment - religion	NA	Peer supervisor	"Good morning Qiana and thanks for the work you're doing. Doctor appreciated all your work and how great you're doing it with care. We ask you to keep it up because you were among the best. Thank you so much and may God reward you. Have a good day.  Greetings VHTs and thanks for the work you're doing. Now, there's a lady in Makata who went to Seeta but I'm not sure who she found there because she was referred to us to treat her and give her a form. Doctor told us not to see any new patients without working on those we saw on Sunday.  Greetings Francesca. I am not getting that patient but since you know doctor told us not to see any new patients before we are done with the ones we have"
Quality assurance	Communication and information - giving information	Quality assurance - reprimand	Supportive environment - thanks	NA	NA	Peer supervisor	" My fellow VHTs let's observe about where we send the messages when informing others, like Mr. Matthew you could have put your issue in the group of Seeta Nazigo and Makata group. The problems we find when e have gone on house visits are the ones we are supposed to share on the VHT case group, but when we keep doing the same mistake as they are always telling us, it is not good let's observe before sharing messages, but issues with illnesses when you get the patient are the ones to go in the case group, whereas informing others where you will meet and any other information should be  written in Seeta Nazigo Makata group, thank you so much."
Quality assurance	Communication and information - making a request	Communication and information - giving information	NA	NA	NA	CHW	"My fellow VHTs, these days I have no power but need clarification I found a photo here, I have looked at it but can't understand it. It was in the case group. Please can someone explain it to me. "
Quality assurance	Communication and information - making a request	Communication and information - training	Communication and information - giving information	Supportive environment - thanks	Supportive environment - religion	CHW	"Good morning fellow VHTs. Thanks for today's work. Thank God who has kept us. Good morning our bosses Dr Andrew, Bryan, Catherine and Hannah. Thank you for the work you're doing for us. VHTs and our bosses, I would like your advice. In case one day I kill a snake and then after leave it somewhere, and then the insects eat apart of it but again comeback to my house.  In case those insects get in contact with things that I eat,  is it poisonous? Or if they bite me after eating the snake? Does it affect me? What happens exactly? Please advise me because a lot of people in my village may fall prey. That's my question. I request fellow VHTs, Doctor, Bryan, Catherine please tell me because I personally don't know. Thanks so much. Mulungi is sick with malaria and flue but I gave her treatment. May God be with you."
Quality assurance	Supportive environment - mutual learning	Communication and information - giving information	NA	NA	NA	CHW	Gordon - his messages are not in the group. Let him go to the group which has a profile picture of VHTs. Now here  you are using this big group. You need to use an alternative group. I have told him to use that other group. Any prolems just let me know. I can help others. If there are problems tell him to come to me and I will help him. 
Supportive environment	Communication and information - acknowledgement	Supportive environment - religion	Supportive environment - greetings	Supportive environment - thanks	Supportive environment - moral support	CHW	"Welcome back VHTs. From the meeting. Thanks for your time and all those who didn't come today who were ill - sorry, May god heal you. There is noone else other than God. He is the only one who can help us. I want to thank you for all the suggestions we had today, but our friends who were not here I heard our supervisor said they should accept or agree with them. So we should do it the way our supevisor told us. everything will be ok."
Communication and Information	Supportive environment - encouragement and praise	Communication and information - logistics and planning	NA	NA	NA	Facilitator	Please try to remember take photographs if you can ! Anything interesting relating to the project or ear disease would be good
Communication and Information	Quality assurance - patient management	NA	NA	NA	NA	Facilitator	This patient was given antibiotics inappropriately.
Quality assurance	Communication and Information - clarifying information	Supportive environment - moral support	NA	NA	NA	CHW	Forgive Luke because he probably wasn't keen. But I also think this is where we get to hear about what's happening in our friends' lives whereas the VHT case group is where we learn from. Our fellows blame us that it is not the right thing to do but let Mr. Luke explain to us why. Seems he knows better than us all. Luke please explain to us where we should communicate from and not in a bad way. I also found a lot of sympathy messages and I sympathised as well so I am probably one of those who did wrong. Forgive us sir.
Quality assurance	Communication and information - giving information	Communication and information - logistics and planning	Supportive environment - greetings	Supportive environment - thanks	NA	CHW	"Greetings members, thanks for today's work, I want to announce the death of my Mother is had remained at my dad's place, she got a car accident and died, burial is tomorrow in Bugerere the place is called mukoloto where they are going to burry her tomorrow, whoever have heard should tell another."
