Prediction	primarySupervisoryCategoryAdaptedFromVuHenrysPaper	secondarySupervisoryCategoryAdaptedFromVuHenrysPaper	tertiarySupervisoryCategoryAdaptedFromVuHenrysPaper	quaternarySupervisoryCategoryAdaptedFromVuHenrysPaper	fifthSupervisoryCategory	sixSupervisoryCategory	Sender category	Anonymised message
Quality assurance	Communication and Information	Communication and information	NA	NA	NA	No entry for sixSupervisoryCategory	Facilitator	"There will be a meeting at Seeta Nazigo tomorrow at 2pm (Monday) . I hope to see you all there if possible. Also there might be a visit from Dr. Simon (ENT Doctor) from Mbarara on the 29th of April. I will confirm this in the next few days with you for certain. He just needs to try secure the time off. This will be the same as the last meeting with Dr. Brenda where your patients with problems can be reviewed. Finally, Dr. Brenda has agreed to operate on patients for free in Mbarara. She can do one patient per week. I know Mbarara is a long distance however they will be guarenteed to be see by her, it will be on a set date meaning they can plan for the journey and they can be rest assured that they will receive all treatment for free."
Communication and information	Quality assurance	Supportive environment	NA	NA	NA	No entry for sixSupervisoryCategory	Facilitator	Matthew - this is the VHT group chat - not the case chat. Please put your answer in the case group. 
Communication and information	Supportive Environment	NA	NA	NA	NA	No entry for sixSupervisoryCategory	Peer supervisor	Please friends lets try and reply to the questions. 
Quality assurance	Communication and Information	Supportive environment	NA	NA	NA	No entry for sixSupervisoryCategory	CHW	Dr Andrew we made an announcement and the outreach is tomorrow for examining ears and immunising tetanus. Have a good night.
Communication and information	Supportive environment	Supportive environment	NA	NA	NA	No entry for sixSupervisoryCategory	Facilitator	Does anyone have any questions from this week? Or need help with anything? Please let us know here. Thank you. 
Communication and information	Supportive Environment	NA	NA	NA	NA	No entry for sixSupervisoryCategory	CHW	Thanks Andrew
Communication and information	Supportive environment	Quality assurance	Supportive environment	Supportive environment	Supportive environment	No entry for sixSupervisoryCategory	Peer supervisor	"Good morning members, thanks for yesterdays work. Those who are ill, God will protect you. As you also care about yourself taking medicine. I want to inform you at this moment that Andrew is at the health centre. He wants to review all patients for those who have ones who need review. He apologised he was not able to be here yesterday as he had no mean of transport. But now he is here. Bring your patients so they can be seen. Because we are trying to prepare to see Dr. Simon and those ones who might go to Mbarara. It is better to see that we get all patients seen right now do they can be selected for the health centre. That is what I want to tell you. Don't loose this opportunity. I apologise to the patients who came yesterday, and didn't get treatment and inform them why they didn't get treatment because it is better for someone to know the reason - even if they didn't get what they wanted. I wish you a good day. "
Supportive environment	Communication and Information	NA	NA	NA	NA	No entry for sixSupervisoryCategory	Facilitator	Isabella we will be with you tomorrow at the health centre. 
Supportive environment	Quality assurance	NA	NA	NA	NA	No entry for sixSupervisoryCategory	Facilitator	This isn't good practice. I'm dissapointed. We need to be diligent and will have to maybe redo training.
Communication and information	Supportive Environment	Supportive environment	NA	NA	NA	No entry for sixSupervisoryCategory	Facilitator	"I thank all the group members of Kirijja Butooke, Makata Seeta Nazigo for participating and responding to the cases, let's be together even for the next time when we get another question let's participate, where we don't understand let's ask our friends, we were told to read the manuals so that we prepare for the next program, thank you so much. I also thank Dr Andrew, and his translators Bryan and Catherine, thank you so much, you have tried so much to translate what is right from what we have been saying for example changing from English to Luganda and the vice versa"
