Prediction,primarySupervisoryCategoryAdaptedFromVuHenrysPaper,secondarySupervisoryCategoryAdaptedFromVuHenrysPaper,tertiarySupervisoryCategoryAdaptedFromVuHenrysPaper,quaternarySupervisoryCategoryAdaptedFromVuHenrysPaper,fifthSupervisoryCategory,Sender category,Anonymised message
Supportive environment,Communication and information - acknowledgement,Supportive Environment - Encouragement and praise,Supportive Environment - thanks,Supportive environment - greetings,Supportive environment - religion,Peer supervisor," Doctor, almost all of us have received the data. We would like to appreciate you for fulfilling your promises. May God repay you. Thanks so much and your team including Catherine and Bryan. We thank them because they take up the responsibility in your absence.Thank you so much and good night. May tomorrow be a good one too."
Supportive environment,Communication and information - acknowledgement,NA,NA,NA,NA,Peer supervisor,Ok
Quality assurance,Communication and information - giving information,Communication and information - logistics and planning,Supportive environment - greetings,Supportive environment - thanks,NA,CHW,"Greetings members, thanks for today's work, I want to announce the death of my Mother is had remained at my dad's place, she got a car accident and died, burial is tomorrow in Bugerere the place is called mukoloto where they are going to burry her tomorrow, whoever have heard should tell another."
Supportive environment,Communication and information - logistics and Planning,NA,NA,NA,NA,Peer supervisor,"Sorry I had forgotten, I know we have some VHTs who have issues with their phones at the moment so I request whoever has received this audio message to inform a friend in case you meet such that we can all be aware."
Quality assurance,Communication and information - training,NA,NA,NA,NA,Facilitator,"Hi VHTs. Here are some suggestions about how to prevent diahorrea: Breastfeed more frequently when a baby has diarrhoea.

Give more fluids to children with diarrhoea.

Giving oral rehydration salts solution can strengthen a child and reduce the risk of death from diarrhoea.

Prevent diarrhoea by disposing of all faeces in a latrine 

Wash hands with soap before preparing or handling food, before eating or feeding a child. after using the toilet or changing a child who has defecated, before and after taking care of someone who is sick, after touching sick or dead animals

Use safe water for drinking and food preparation

Do not drink water from any source directly without boiling it 

Safe water can be made unsafe if carried in dirty containers or stored in dirty containers or left uncovered in clean containers

Protect water from contamination by covering water storage containers and keeping animals away.

Cook food well and protect it from flies.

Cover stored food.

Use clean eating utensils."
Quality assurance,Communication and information - clarifying information,NA,NA,NA,NA,Facilitator,If you don't have a treatment  kit yet it is because either a. In the tests you needed extra assesment or b. On home visits you have not made correct decisions or recorded things poorly. We will continue to assist you but we want to make sure things are done properly as this is a very important role.
Supportive environment,Communication and information - training,NA,NA,NA,NA,CHW,The problem Uganda has in regards to the other question is it hasn't put effort in health issues. It instead focuses on useless things for example you find the government giving out money to ghettos yet people are dying of cholera. Uganda hasn't focused on important things.
Quality assurance,Communication and information - training,NA,NA,NA,NA,CHW,"This is my reply to today's question. After seeing Mr. Jamil and confirming his ears have no other problem besides hearing loss, I explain to him what could be used to help him. I let him know about hearing aids and their cost which is between shs. 800,000 and shs.1,000,000. I also direct him to ENT specialists who sell them instead of just buying from anywhere like someone purchasing groundnuts or a phone. And that the ENT specialist must confirm it first."
Quality assurance,Communication and Information - Logistics and Planning,Communication and information - clarifying information,NA,NA,NA,Facilitator,Even those you filled
Quality assurance,Communication and information - training,Supportive environment - Greetings,Supportive environment - Thanks,NA,NA,CHW,"Greetings fellow VHTs and thanks for the work you're doing. Today's question requires us to give the causes of malaria. First of all, it could be a symptom of another disease in your body or the body's reaction to getting rained on. Secondly, it can be caused by a female anopheles mosquito. Thirdly, typhoid is caused by drinking unboiled water or uncovered food which may have been contaminated by houseflies. In summary typhoid is caused by eating dirty food stuff. Those are the causes of malaria. Thank you so much."
Communication and Information,Quality assurance - outreach work,Communication and information - clarifying information,Supportive environment - greetings,NA,NA,Peer supervisor,"Good morning fellow members, my question is has anyone identified any place of worship we can base to pass on information to our people of Kirijja Butoke? The information we need to pass on is about ears and how we can treat them. If there's any, let us know and we plan how to go about it tomorrow."
Communication and Information,Supportive environment - apology,Communication and information - giving information,Communication and information - logistics and planning,NA,NA,Facilitator, Hi vhts. I am at the health center in seeta nazigo but perhaps there are no patients for me to review ? Also I have some slightly bad news. The staff at Omni Med have told me that this afternoon they need to use the car since their car is broken. I will therefore not have a car after 2pm so will not be able to drive to kirujja butoke today.  I am sorry for the disruption Qiana and Jane. I am able to see patients around makata this afternoon instead and can go with you tomorrow at 2pm and then Oliver and Luke at 4pm.
Supportive environment,Communication and Information - Logistics and Planning,Supportive environment - greetings,Supportive Environment - thanks,NA,NA,CHW,"How are you Harriet, thank you for the clarification about the Doctor who is coming on 5th. Some of our VHTs had made a mistake of mobilizing the people to come on 5th where some were asking for loud speakers to pass through people while informing them like those of Kirijja butooke which is not right.  The right thing is that one you are trying to clarify, because even me I was here today and a certain lady who was in church and she said they were told in church to go to the Health Centre for treatment. I forwarded another one to you who was also having the same information, I told her to come to you for assessment first, and if her problem is worse that's when she will be able to see the Doctor."
Supportive environment,Communication and information - training,Supportive environment - thanks,Supportive environment - Religion,NA,NA,CHW,"Greetings fellow health workers and thanks for the work you're doing for the country. For those who had patients and they got well, we thank God. And for those who are still sick, may God see you through. Now when I look at that photo, the condition is called fungal otitis externa and it's in our books if you read. Regards to you all and I wish you a blessed and peaceful day tomorrow. May God enable us to wake up alive. Good bye."
Quality assurance,Communication and information - training,Communication and information - acknowledgement,Supportive environment - encouragement and praise,NA,NA,CHW,"Well done fellows. All you have talked about is right. We go there and find long lines and we don't even get the treatment. The doctors that have studied should be given opportunity to work in health centres. Some doctors are very old and have worked for years me. You go to seek treatment and they refuse to attend to you .Someone feels like they inherited the position and can only leave after death. You hear people have studied but have no jobs but we haven't been helped. I always see from our health centres here forexample seeta Nazigo, you find a very old woman tired of giving birth and cannot even advise the pregnant women or take good care of them. I think they should give chance to the fresh ones. That's my opinion."
Quality assurance,Communication and information - training,NA,NA,NA,NA,CHW,We give Patricia Zinc tablets. She swallows one tablet daily for ten days to complete the dose.
Quality assurance,Communication and information - training,Communication and information - giving opinion,NA,NA,NA,CHW,"There is someone who interuppted me when I was talking, but if the government can help and put money into the health system, things will be possible. They can’t take people to other countries for treatment like China. For example, as you know, most of our doctors who are experts are abroad, meaning they aren't paying them enough money here. Or if not the government doesn't invest in the health sector. We could have ear services if the government cared and gave money to the health center. "
Quality assurance,Communication and information - training,NA,NA,NA,NA,CHW,"Therefore up to now people have that feeling the when you to any Government hospital without money, you won't get treatment so they fear staying in a line and at the end of the day they are not worked upon, but a rich person just goes  once and fast. People end up regretting for example pregnant mothers who go for antinental care and those who take their children for immunization, they say they wish they had money so that they can pay and be worked on fast like in a private health centre. I think it could be so easy if we had that system where we have enough doctors in health centres, this can save time and people will stop thinking of paying for the treatment, that's my view as Luke"
Quality assurance,Supportive environment - moral support,Supportive environment - encouragement and praise,Supportive Environment - thanks,NA,NA,CHW," I was thinking that Matthew needs to be helped, and informed on where to write his issues, we shall be happy if those around him direct him where to put the messages, that the VHT case group is for learning, let him use the Seeta Nazigo group. It is true he has a problem with his leg and I have ever seen him at the health centre looking for treatment. It doesn't look look when you open messages in VHT case group and you find Matthew talking about himself alone or Gordon doing the same. I have only mentioned the two because am always making jokes with them but even others, let's write in the right groups in order to get good communication. Thank you"
