URL,ID,Normal,Splinter,Fungal,Hands,Other
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_1a.jpg,0,75,10,10,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_1b.jpg,1,70,15,15,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_1c.jpg,2,75,10,10,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_1d.jpg,3,70,15,15,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_10a.jpg,4,95,0,0,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_10b.jpg,5,75,10,10,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_10c.jpg,6,60,10,10,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_10d.jpg,7,90,5,5,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_12a.jpg,8,85,5,5,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_12b.jpg,9,75,10,10,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_12c.jpg,10,75,10,10,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_12d.jpg,11,75,5,5,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_13.png,12,65,5,5,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_14a.png,13,80,15,15,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_14b.png,14,80,10,10,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_14c.png,15,85,5,5,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_14d.png,16,85,15,15,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_15a.png,17,65,20,20,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_15b.png,18,95,5,5,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_15c.png,19,90,5,5,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_17a.png,20,90,0,0,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_17b.png,21,100,0,0,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_17c.png,22,85,5,5,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_17d.png,23,95,0,0,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_18a.png,24,95,5,5,0,0
