URL,ID,Normal,Splinter,Fungal,Other
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_1a.jpg,0,75,80,80,80
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_1b.jpg,1,70,75,75,75
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_1c.jpg,2,75,80,80,80
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_1d.jpg,3,70,75,75,75
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_10a.jpg,4,95,100,100,100
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_10b.jpg,5,75,80,80,80
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_10c.jpg,6,60,65,65,65
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_10d.jpg,7,90,95,95,95
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_12a.jpg,8,85,90,90,90
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_12b.jpg,9,75,80,80,80
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_12c.jpg,10,75,80,80,80
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_12d.jpg,11,75,80,80,80
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_13.png,12,65,70,70,70
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_14a.png,13,80,85,85,85
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_14b.png,14,80,85,85,85
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_14c.png,15,85,90,90,90
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_14d.png,16,85,90,90,90
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_15a.png,17,65,70,70,70
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_15b.png,18,95,100,100,100
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_15c.png,19,90,95,95,95
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_17a.png,20,90,95,95,95
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_17b.png,21,100,105,105,105
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_17c.png,22,85,90,90,90
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_17d.png,23,95,100,100,100
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_18a.png,24,95,100,100,100
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_18b.png,25,85,90,90,90
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_18c.png,26,100,105,105,105
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_18d.png,27,100,105,105,105
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_18e.png,28,95,100,100,100
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_19a.png,29,90,95,95,95
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_19b.png,30,95,100,100,100
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_19c.png,31,100,105,105,105
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_19d.png,32,95,100,100,100
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_19e.png,33,100,105,105,105
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_2a.png,34,60,65,65,65
