URL,ID,Splinter,Fungal,Normal,Hands,Other
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_1.png,0,50,5,45,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_10.png,1,45,30,25,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_11.png,2,35,25,40,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_12.png,3,30,25,45,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_13.png,4,20,10,70,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_14.png,5,55,15,30,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_15a.png,6,55,25,20,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_15b.png,7,70,30,0,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_15c.png,8,65,35,0,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_15d.png,9,20,55,25,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_15e.png,10,35,60,5,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_16a.png,11,50,45,5,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_16b.png,12,40,60,0,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_16c.png,13,55,45,0,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_17a.png,14,35,40,25,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_17b.png,15,35,30,35,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_17c.png,16,35,30,35,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_17d.png,17,35,35,30,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_17e.png,18,35,35,30,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_18a.png,19,65,0,35,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_18b.png,20,40,0,60,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_19a.png,21,60,20,20,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_19b.png,22,20,30,50,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_2.png,23,50,35,15,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_20a.png,24,50,45,5,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_20b.png,25,80,5,15,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_21a.png,26,50,40,10,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_21b.png,27,35,35,30,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_22.png,28,45,20,0,35,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_23.png,29,55,10,35,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_24.png,30,45,20,15,20,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_25.png,31,30,60,10,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_3.png,32,40,35,25,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_4a.png,33,45,5,50,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_4b.png,34,40,0,60,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_4c.png,35,30,20,50,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_4d.png,36,45,10,45,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_5.png,37,50,10,35,5,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_6.png,38,50,50,0,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_7.png,39,40,5,55,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_8a.png,40,45,15,40,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_8b.png,41,60,5,35,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_9.png,42,75,5,20,0,0
