URL,ID,serious,normal,fungal,trauma
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_1.png,0,60,20,20,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_10.png,1,80,20,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_11.png,2,80,0,20,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_12.png,3,20,40,40,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_13.png,4,40,60,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_14.png,5,100,0,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_15a.png,6,60,0,20,20
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_15b.png,7,80,0,20,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_15c.png,8,100,0,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_15d.png,9,40,20,40,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_15e.png,10,60,0,40,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_16a.png,11,100,0,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_16b.png,12,80,0,20,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_16c.png,13,80,0,20,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_17a.png,14,100,0,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_17b.png,15,100,0,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_17c.png,16,100,0,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_17d.png,17,100,0,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_17e.png,18,100,0,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_18a.png,19,100,0,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_18b.png,20,40,60,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_19a.png,21,40,40,20,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_19b.png,22,20,60,0,20
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_2.png,23,60,0,40,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_20a.png,24,40,20,20,20
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_20b.png,25,100,0,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_21a.png,26,80,0,20,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_21b.png,27,20,0,80,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_22.png,28,60,0,20,20
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_23.png,29,80,0,20,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_24.png,30,60,0,20,20
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_25.png,31,40,0,60,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_3.png,32,80,0,20,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_4a.png,33,80,20,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_4b.png,34,80,20,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_4c.png,35,60,20,0,20
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_4d.png,36,60,20,0,20
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_5.png,37,60,20,20,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_6.png,38,60,0,40,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_7.png,39,80,20,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_8a.png,40,60,40,0,0
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_8b.png,41,80,0,0,20
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_9.png,42,100,0,0,0
