trauma-normal-serious-fungal-
URL,ID,trauma,normal,serious,fungal,
https://ecraft2learn.github.io/ai/onyx/images/trauma/nail trauma 1.png,0,060,0,40,
https://ecraft2learn.github.io/ai/onyx/images/trauma/nail trauma 3.png,1,00,20,80,
https://ecraft2learn.github.io/ai/onyx/images/trauma/nail trauma 4.png,2,00,60,40,
https://ecraft2learn.github.io/ai/onyx/images/trauma/nail trauma 5.png,3,4040,20,0,
https://ecraft2learn.github.io/ai/onyx/images/trauma/nail trauma 6.png,4,2020,60,0,
https://ecraft2learn.github.io/ai/onyx/images/trauma/nail trauma 7.png,5,2080,0,0,
https://ecraft2learn.github.io/ai/onyx/images/trauma/nail trauma 8.png,6,00,20,80,
https://ecraft2learn.github.io/ai/onyx/images/trauma/nail trauma 9.png,7,020,20,60,
https://ecraft2learn.github.io/ai/onyx/images/trauma/nail trauma 10.png,8,200,40,40,
https://ecraft2learn.github.io/ai/onyx/images/trauma/nail trauma 11.png,9,080,0,20,
https://ecraft2learn.github.io/ai/onyx/images/trauma/nail trauma 12.png,10,00,60,40,
