一 one
在 in
有 have
我 me
不 non
這 now
了 entirely
他 he
也 also
就 then
人 person
都 all
說 speak
我們 we
你 you
要 must
會 will
對 toward
及 and
以 using
很 pretty
大 great
她 she
那 that
上 on
但 yet
還 still
可以 can
最 most
自己 own
為 by
來 to
他們 they
兩 both
各 every
為 be
好 good
又 again
因為 for
由 from
更 more
已 already
三 three
什麼 anything
問題 problem
其 his
讓 allow
此 this
做 make
所以 therefore
只 only
與 with
卻 however
位 location
想 think
學生 academic
表示 demonstrate
公司 incorporation
如果 if
社會 community
看 see
小 small
因此 consequently
新 new
中 center
使 leave
工作 work
全 whole
覺得 imagine
使用 use
這些 these
裡 inside
並 actually
時候 day
知道 tell
這樣 so
認為 find
時間 moment
事 responsibility
可能 probably
中國 china
到 arrive
幾 several
系統 lineage
政府 state
大家 everyone
許多 lot
生活 life
大學 university
研究 study
因 as
活動 activity
世界 mundane
應 should
四 four
希望 hope
方式 path
環境 environmental
文化 civilization
高 tall
孩子 kid
如 like
開始 begin
不同 different
網路 net
來 come
雖然 although
重要 important
地方 country
關係 relation
市場 marketplace
太 excessively
老師 rabbi
提供 feed
學校 seminary
指出 point
經濟 economy
其他 other
家 family
發展 develop
教育 education
多 many
非常 extraordinary
方面 side
未 not
電腦 computer
一樣 same
心 heart
無法 unable
企業 proposition
正 precisely
服務 serve
較 rather
曾 once
空間 allowance
看到 view
五 five
如何 how
國內 interior
之後 later
當 when
人員 strength
先 earlier
產品 baby
資訊 stuff
資料 food
比較 relatively
先生 teacher
地 land
除了 except
需要 need
給 give
歲 year
請 request
月 moon
另 another
地區 section
技術 mechanics
特別 unusual
國際 international
不要 never
發生 happen
參加 join
其中 among
問 ask
包括 embrace
講 discourse
造成 create
像 resemble
常 often
去 go
出現 appear
政治 trouble
話 words
走 travel
單位 department
一直 away
當然 certainly
整 exact
處理 handle
歷史 historical
了解 understand
機會 occasion
聽 hear
只要 provided
朋友 connections
甚至 even
真 really
六 six
呀 e
情況 event
錢 cash
方法 plan
任何 any
經驗 experience
藝術 artistic
十 ten
主要 main
媽媽 mummy
增加 increase
提出 pose
為什麼 why
作 do
東西 thing
在 exist
條 bar
設計 design
找 seek
成長 mature
決定 decide
誰 who
半 half
完成 fulfil
帶 raise
相當 quite
同學 classmate
件 correspondence
別人 others
生命 breath
下 below
會議 synod
容易 easy
民眾 civil
書 volume
事實 mood
組織 tissue
言 say
愛 love
建立 establish
相關 relational
產生 produce
業者 dealer
解決 solve
完全 completely
接受 receive
約 about
建築 building
一般 general
推動 promote
過程 mechanism
管理 manage
功能 functional
手 hand
打 strike
水 water
小朋友 child
教授 professor
難 unpleasant
內容 content
結果 result
調查 investigate
家庭 background
成立 found
選擇 select
然而 but
父母 parental
寫 description
人類 man
買 invest
尤其 especially
配合 coordinate
作品 writing
情形 circumstance
資源 resource
原因 origin
運動 sports
觀念 conception
軟體 software
品質 calibre
經過 pass
如此 thus
嗯 well
精神 god
影響 influence
之 it
好像 seem
成 become
以後 afterwards
於是 hence
部分 partial
另外 besides
公園 common
透過 via
訓練 training
研究 research
行為 fact
合作 cooperate
經 through
目標 objective
考慮 consider
長 long
意見 latitude
辦法 road
音樂 music
連 including
廠商 firm
或是 perhaps
某 certain
女性 lady
快 fast
部份 composition
工程 process
女人 female
句 sentence
只是 merely
現象 phenomenon
人民 multitude
面對 face
這裡 there
新聞 leak
相信 deem
政策 tack
強調 underscore
前 front
前 preceding
制度 organization
意義 importance
代表 representative
課程 lesson
人生 lifetime
那些 those
成功 succeed
爸爸 father
產業 estate
民間 folk
直接 direct
幾乎 chiefly
實際 practical
團體 fraternity
價值 value
使得 render
形成 form
科技 technology
七 seven
本身 self
標準 standard
似乎 apparently
應用 application
電話 telephone
態度 stance
建設 construction
老 old
常常 oftentimes
坐 sit
舉辦 conduct
有的 some
具 possess
好 very
放 loose
電影 cinematography
科學 scientific
執行 execute
邊 border
委員會 board
溝通 communicate
開 open
一起 together
員工 employee
引起 elicit
安全 safe
此外 moreover
擁有 occupy
研究所 school
語言 language
嚴重 serious
故事 recital
設備 installation
之外 beyond
車 vehicle
基本 fundamental
實在 indeed
改善 improve
死 die
結構 constitution
住 inhabit
改變 change
拿 take
小組 squad
支持 sustain
座 fare
醫院 hospice
僅 simply
值得 merit
八 eight
交通 intercourse
階段 staged
感覺 feeling
電視 set
母親 mother
記者 journalist
壓力 strain
快樂 happy
喝 drink
敢 dare
院 college
也許 possibly
人們 workforce
談 talk
怕 dread
就 concerning
規定 rules
積極 positive
知識 understanding
機構 motion
鼓勵 encourage
角色 character
狀況 repair
專家 guru
清楚 clear
比賽 match
玩 enjoy
效果 operation
保護 protect
共 totally
附近 neighborhood
父親 parent
專業 professional
經費 finances
分別 separately
歡迎 invite
小時 hour
男人 male
避免 preclude
屬於 belong
實施 implement
聲音 voice
主義 principle
行動 action
不可 cannot
校園 campus
興趣 relish
山 pike
表現 manifestation
得 get
回來 revisit
主任 head
經常 everyday
電子 electron
思想 imagery
終於 ultimately
謝謝 thank
協助 assist
當地 locality
真正 true
低 lower
性 nature
因素 consideration
上 mount
價格 price
認識 know
說明 explain
工業 industrial
逐漸 gradually
心理 psychology
供 supply
簡單 casual
運用 utilize
觀察 observe
減少 reduce
重新 newly
業務 service
報導 report
感到 feel
有效 run
女 girl
人才 talent
行政 administration
銀行 bank
媒體 media
代 period
自然 naturally
力量 fibre
超過 distance
維持 keep
家長 patriarch
結合 combine
通常 normal
委員 y
特色 motif
結果 finally
有時 sometimes
教師 beak
之前 before
遠 far
控制 control
法 law
少 lack
要 demand
臉 map
通過 adopt
建議 propose
工具 instrument
達 lead
節目 item
智慧 lore
來自 hail
健康 healthy
擔任 assume
人口 population
規劃 program
